epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1443.89,1.45982,1.81867,1.92785,0.68593,0.63522,0.67672,0.35016,1.67208,1.50983,2.14408,0.000848969,0.000848969,0.000848969
43,1477.97,1.46381,1.81799,1.93439,0.69649,0.66352,0.72711,0.35268,1.76905,1.42602,2.24734,0.000834822,0.000834822,0.000834822
44,1512.22,1.45996,1.80401,1.91735,0.73262,0.66525,0.72884,0.39695,1.64723,1.34771,2.1265,0.000820675,0.000820675,0.000820675
45,1546.84,1.46128,1.78823,1.92735,0.68397,0.65396,0.71204,0.40464,1.54958,1.41575,2.0301,0.000806528,0.000806528,0.000806528
46,1581.36,1.44007,1.76159,1.90947,0.75178,0.62448,0.70087,0.36278,1.7419,1.44788,2.21535,0.00079238,0.00079238,0.00079238
47,1616.64,1.44202,1.79417,1.91484,0.69735,0.63985,0.69945,0.36452,1.64853,1.56541,2.13828,0.000778233,0.000778233,0.000778233
48,1651.16,1.44124,1.75654,1.91002,0.62515,0.70631,0.69945,0.35738,1.70492,1.43887,2.19307,0.000764086,0.000764086,0.000764086
49,1684.96,1.4369,1.78016,1.90775,0.72271,0.66278,0.7204,0.33756,1.79653,1.42432,2.32712,0.000749939,0.000749939,0.000749939
50,1719.53,1.44079,1.75884,1.91277,0.72375,0.68743,0.74186,0.36951,1.72287,1.33881,2.2122,0.000735792,0.000735792,0.000735792
51,1754.01,1.4241,1.74714,1.89986,0.69148,0.68117,0.73048,0.33824,1.85037,1.40107,2.30876,0.000721645,0.000721645,0.000721645
52,1787.71,1.41451,1.70867,1.8777,0.71301,0.73291,0.77116,0.40852,1.65081,1.3004,2.11301,0.000707498,0.000707498,0.000707498
53,1822.07,1.41955,1.73456,1.8897,0.70791,0.66843,0.72241,0.36801,1.7105,1.38772,2.19913,0.000693351,0.000693351,0.000693351
54,1855.61,1.40359,1.68662,1.87491,0.68082,0.68864,0.71617,0.37464,1.65447,1.40931,2.12714,0.000679204,0.000679204,0.000679204
55,1890.51,1.41663,1.7165,1.87728,0.743,0.69488,0.75794,0.40256,1.63655,1.29099,2.09393,0.000665057,0.000665057,0.000665057
56,1924.35,1.40663,1.70856,1.89095,0.77134,0.71498,0.78976,0.45187,1.50054,1.27317,1.98308,0.000650909,0.000650909,0.000650909
57,1958.77,1.42579,1.70345,1.88804,0.7477,0.68085,0.75352,0.37646,1.68004,1.31644,2.12988,0.000636762,0.000636762,0.000636762
58,1992.12,1.39278,1.67112,1.87311,0.76508,0.69795,0.76251,0.37296,1.72186,1.2978,2.17391,0.000622615,0.000622615,0.000622615
59,2026.71,1.39492,1.67253,1.86207,0.7514,0.74127,0.80118,0.4676,1.46341,1.21697,1.95134,0.000608468,0.000608468,0.000608468
60,2060.66,1.39789,1.65935,1.85754,0.75071,0.72405,0.7772,0.41078,1.63367,1.24681,2.10073,0.000594321,0.000594321,0.000594321
61,2095.11,1.39697,1.66139,1.85993,0.74909,0.75102,0.80894,0.44898,1.54698,1.20346,2.03019,0.000580174,0.000580174,0.000580174
